Metric,Mean,Std_Dev
Local_Accuracy,0.7779466119096509,0.005716701938364062
Local_Precision,0.8563323270164496,0.003252020949103779
Local_Recall,0.8036203471136222,0.005890369128634922
Local_F1,0.8053203829957086,0.005213713084876545
Local_AUC,0.977883938252228,0.0013981729139150756
Global_Accuracy,0.7716960985626283,0.0044646615562936925
Global_Precision,0.8551702787576417,0.0028650330133082242
Global_Recall,0.7997568854488317,0.004407271507243658
Global_F1,0.8006056660472158,0.003687261655049024
