Client,Local_Accuracy,Local_Precision,Local_Recall,Local_F1
client_0,0.9648488830486203,0.966295697348097,0.9648488830486203,0.9648949570711451
client_1,0.966819973718791,0.9680052709570649,0.966819973718791,0.966832652798188
client_2,0.9671484888304862,0.9689806733253185,0.9671484888304862,0.9671966712101435
client_3,0.9615637319316689,0.9635541591391252,0.9615637319316689,0.9616291033287374
client_4,0.9661629434954008,0.96717384789174,0.9661629434954008,0.966054512740284
client_5,0.9635348226018396,0.9650380107161999,0.9635348226018396,0.963583431976513
client_6,0.9622207621550591,0.963997707110911,0.9622207621550591,0.9622246299290186
client_7,0.9615637319316689,0.9630675909364076,0.9615637319316689,0.9614812575078256
client_8,0.9648488830486203,0.9662641880163897,0.9648488830486203,0.9649457500751619
client_9,0.9632063074901446,0.964427656228025,0.9632063074901446,0.9632786302661687
