Metric,Mean,Std_Dev
Local_Accuracy,0.777193850898661,0.0075847255453595505
Local_Precision,0.8572247746443817,0.003323830673796838
Local_Recall,0.8050405717478016,0.0042716867987149494
Local_F1,0.8057988468418443,0.005542001425212026
Local_AUC,0.9772269286476492,0.0013249904579842287
Global_Accuracy,0.7688984712916916,0.003557794389807813
Global_Precision,0.8533091066620109,0.0017836387273566208
Global_Recall,0.7986981181374497,0.0019496339638735635
Global_F1,0.7986655696197131,0.002165387543914083
