Metric,Mean,Std_Dev
Local_Accuracy,0.9089955087097564,0.030829179658418433
Local_Precision,0.6700008129576183,0.1453515990378011
Local_Recall,0.48960463716225344,0.09430907229498682
Local_F1,0.5134434627081804,0.09951287717589828
Local_AUC,0.9941534887164899,0.002347831963840885
Global_Accuracy,0.8673899917423755,0.038715219083937734
Global_Precision,0.6326134611486494,0.07926400638433
Global_Recall,0.8022647358165067,0.02008884151111352
Global_F1,0.6220451487528615,0.087010879049989
