Metric,Mean,Std_Dev
Local_Accuracy,0.8734733146546627,0.0062543245427616
Local_Precision,0.8737520274320619,0.04376028645957143
Local_Recall,0.782211051455713,0.009367566467220654
Local_F1,0.7905103110596292,0.01173760886163188
Local_AUC,0.9869547375404804,0.0013182495294986889
Global_Accuracy,0.7416966959877915,0.0036561832565979416
Global_Precision,0.730846844725467,0.0035612551935889215
Global_Recall,0.6346829190669141,0.0017392470624054545
Global_F1,0.6094704209621622,0.00246527753440799
